season	order	start_date	end_date	publish_date
2017/18	0	2017-06-01 00:00:00.000	2017-08-25 12:00:00.000	NULL
2017/18	1	2017-08-25 12:00:00.000	2017-09-08 17:00:00.000	2017-09-12 18:00:00.000
2017/18	2	2017-09-08 17:00:00.000	2017-09-15 18:30:00.000	2017-09-19 18:00:00.000
2017/18	3	2017-09-15 18:30:00.000	2017-09-22 18:30:00.000	2017-09-26 18:00:00.000
2017/18	4	2017-09-22 18:30:00.000	2017-09-29 18:30:00.000	2017-10-02 18:00:00.000
2017/18	5	2017-09-29 18:30:00.000	2017-10-20 18:30:00.000	2017-10-24 18:00:00.000
2017/18	6	2017-10-20 18:30:00.000	2017-10-27 17:00:00.000	2017-10-31 18:00:00.000
2017/18	7	2017-10-27 17:00:00.000	2017-11-03 18:30:00.000	2017-11-06 18:00:00.000
2017/18	8	2017-11-03 18:30:00.000	2017-11-24 18:30:00.000	2017-11-28 18:00:00.000
2017/18	9	2017-11-24 18:30:00.000	2017-12-01 16:15:00.000	2017-12-05 18:00:00.000
2017/18	10	2017-12-01 16:15:00.000	2017-12-08 18:30:00.000	2017-12-12 18:00:00.000
2017/18	11	2017-12-08 18:30:00.000	2017-12-15 18:30:00.000	2017-12-19 18:00:00.000
2017/18	12	2017-12-15 18:30:00.000	2017-12-23 16:15:00.000	2018-01-05 18:00:00.000
2017/18	13	2017-12-23 16:15:00.000	2018-01-06 18:30:00.000	2018-01-10 18:00:00.000
2017/18	14	2018-01-06 18:30:00.000	2018-01-12 18:30:00.000	2018-01-16 18:00:00.000
2017/18	15	2018-01-12 18:30:00.000	2018-01-19 17:00:00.000	2018-01-22 18:00:00.000
2017/18	16	2018-01-19 17:00:00.000	2018-01-29 17:00:00.000	2018-02-01 18:00:00.000
2017/18	17	2018-01-29 17:00:00.000	2018-02-03 16:15:00.000	2018-02-07 18:00:00.000
2017/18	18	2018-02-03 16:15:00.000	2018-02-09 18:30:00.000	2018-02-13 18:00:00.000
2017/18	19	2018-02-09 18:30:00.000	2018-02-16 18:30:00.000	2018-02-20 18:00:00.000
2017/18	20	2018-02-16 18:30:00.000	2018-02-23 18:30:00.000	2018-02-27 18:00:00.000
2017/18	21	2018-02-23 18:30:00.000	2018-03-02 18:30:00.000	2018-03-06 18:00:00.000
2017/18	22	2018-03-02 18:30:00.000	2018-03-09 18:30:00.000	2018-03-13 18:00:00.000
2017/18	23	2018-03-09 18:30:00.000	2018-03-16 18:30:00.000	2018-03-19 18:00:00.000
2017/18	24	2018-03-16 18:30:00.000	2018-03-29 18:00:00.000	2018-04-03 18:00:00.000
2017/18	25	2018-03-29 18:00:00.000	2018-04-06 18:30:00.000	2018-04-10 18:00:00.000
2017/18	26	2018-04-06 18:30:00.000	2018-04-13 18:30:00.000	2018-04-17 18:00:00.000
2017/18	27	2018-04-13 18:30:00.000	2018-04-20 18:30:00.000	2018-04-24 18:00:00.000
2017/18	28	2018-04-20 18:30:00.000	2018-04-27 18:30:00.000	2018-05-01 18:00:00.000
2017/18	29	2018-04-27 18:30:00.000	2018-05-04 18:30:00.000	2018-05-08 18:00:00.000
2017/18	30	2018-05-04 18:30:00.000	2018-05-11 18:30:00.000	2018-05-14 18:00:00.000
